1184669:
 num     #instances         #bytes  class name (module)
  26:        101594        1625504  net.minecraft.client.gui.font.providers.UnihexProvider$ShortContents (minecraft@1.20.1)
  27:         31134        1494432  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  28:         44354        1419328  java.util.Hashtable$Entry (java.base@17.0.15)
  29:         26579        1384616  [D (java.base@17.0.15)
  30:         40051        1281632  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  31:         52432        1258368  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  32:         50796        1219104  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  33:         74994        1199904  com.google.common.collect.RegularImmutableList (com.google.common@31.1-jre)
  34:         23812        1142976  com.google.common.collect.ArrayTable (com.google.common@31.1-jre)
  35:         40741         977784  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  36:         28047         897504  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  37:         22220         888800  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  38:         35454         850896  org.joml.Vector3f (org.joml@1.10.5)
  39:         23813         843456  [[Ljava.lang.Object; (java.base@17.0.15)
  40:         10742         773424  it.unimi.dsi.fastutil.objects.Object2ObjectOpenCustomHashMap (it.unimi.dsi.fastutil@8.5.9)
  41:         24077         770464  com.mojang.datafixers.types.templates.Product$ProductType (datafixerupper@6.0.8)
  42:           357         757824  [C (java.base@17.0.15)
  43:         44840         717440  java.util.jar.Attributes (java.base@17.0.15)
  44:         22252         712064  com.mojang.datafixers.types.templates.Sum$SumType (datafixerupper@6.0.8)
  45:         29614         710736  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  46:         14366         689568  java.lang.invoke.MemberName (java.base@17.0.15)
  47:         21500         688000  com.mojang.datafixers.types.templates.Tag$TagType (datafixerupper@6.0.8)
  48:           617         641680  [Lnet.minecraft.client.gui.font.providers.UnihexProvider$Glyph; (minecraft@1.20.1)
  49:         26569         637656  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
  50:         35613         569808  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  51:         11416         547968  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  52:         22484         539616  com.google.common.collect.ImmutableMapEntrySet$RegularEntrySet (com.google.common@31.1-jre)
  53:          9318         521808  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  54:           919         473360  [Ljava.util.Hashtable$Entry; (java.base@17.0.15)
  55:         14243         455776  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  56:          7945         444920  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape (minecraft@1.20.1)
  57:          4896         430848  java.lang.reflect.Method (java.base@17.0.15)
  58:         10742         429680  net.minecraft.client.resources.model.MultiPartBakedModel (minecraft@1.20.1)
  59:         13108         419456  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  60:           488         409984  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  61:          3928         398264  [F (java.base@17.0.15)
  62:         23440         375040  net.minecraft.client.renderer.block.model.multipart.AndCondition$$Lambda$5575/0x0000000800e3e540 (minecraft@1.20.1)
  63:          5040         362880  java.lang.reflect.Constructor (java.base@17.0.15)
  64:          8968         358720  java.lang.invoke.MethodType (java.base@17.0.15)
  65:          6392         357952  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  66:         22333         357328  com.mojang.datafixers.types.templates.Const (datafixerupper@6.0.8)
  67:          5371         343744  java.lang.Class$ReflectionData (java.base@17.0.15)
  68:           602         331712  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  69:          9979         319328  com.mojang.datafixers.types.templates.Named$NamedType (datafixerupper@6.0.8)
  70:         13150         315600  net.minecraft.util.random.WeightedEntry$Wrapper (minecraft@1.20.1)
  71:         13108         314592  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  72:          6514         312672  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  73:          9768         305200  [J (java.base@17.0.15)
  74:         12620         302880  com.mojang.datafixers.types.templates.Sum (datafixerupper@6.0.8)
  75:         12496         299904  com.mojang.datafixers.types.templates.List$ListType (datafixerupper@6.0.8)
  76:          7449         297960  java.util.EnumMap (java.base@17.0.15)
  77:         18567         297072  java.util.HashMap$EntrySet (java.base@17.0.15)
  78:          7388         295520  java.lang.ref.SoftReference (java.base@17.0.15)
  79:         10322         292488  [Ljava.lang.Class; (java.base@17.0.15)
  80:          9103         291296  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.15)
  81:         12124         290976  com.mojang.datafixers.types.templates.Product (datafixerupper@6.0.8)
  82:         12043         289032  com.mojang.datafixers.types.templates.Tag (datafixerupper@6.0.8)
  83:          8904         284928  net.minecraft.world.phys.shapes.ArrayVoxelShape (minecraft@1.20.1)
  84:         10907         267520  [Ljava.lang.String; (java.base@17.0.15)
  85:         16144         258304  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  86:         15744         251904  net.minecraft.client.renderer.block.model.multipart.KeyValueCondition$$Lambda$5613/0x0000000800e40fd0 (minecraft@1.20.1)
  87:         10344         248256  java.lang.invoke.ResolvedMethodName (java.base@17.0.15)
  88:          6102         244080  net.minecraft.client.resources.sounds.Sound (minecraft@1.20.1)
  89:         14336         229376  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  90:         14204         227264  java.lang.Object (java.base@17.0.15)
  91:          9108         218592  net.minecraftforge.registries.ForgeRegistry$OverrideOwner (forge@47.4.13)
  92:          8943         214632  java.util.BitSet (java.base@17.0.15)
  93:          6589         210848  java.lang.invoke.DirectMethodHandle (java.base@17.0.15)
  94:          3694         206864  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
  95:          8612         206688  net.minecraftforge.forgespi.language.ModFileScanData$ClassData (net.minecraftforge.forgespi@7.0.1)
  96:          8227         197448  com.mojang.serialization.Dynamic (datafixerupper@6.0.8)
  97:          6081         194592  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  98:         11910         190560  java.util.HashSet (java.base@17.0.15)
  99:          4756         190240  java.util.TreeMap$Entry (java.base@17.0.15)
 100:          5880         188160  java.lang.invoke.LambdaForm$Name (java.base@17.0.15)
 101:          5708         182656  net.minecraftforge.forgespi.language.ModFileScanData$AnnotationData (net.minecraftforge.forgespi@7.0.1)
 102:         11396         182336  net.minecraft.client.gui.font.providers.UnihexProvider$ByteContents (minecraft@1.20.1)
 103:          5327         170464  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry (com.google.common@31.1-jre)
 104:          5327         170464  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl (com.google.common@31.1-jre)
 105:          5251         168032  com.mojang.serialization.MapCodec$1 (datafixerupper@6.0.8)
 106:         10452         167232  com.mojang.datafixers.types.templates.RecursivePoint (datafixerupper@6.0.8)
 107:          4964         158848  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.15)
 108:          1221         156288  jdk.nio.zipfs.ZipFileSystem (jdk.zipfs@17.0.15)
 109:          3889         155560  net.minecraft.server.packs.linkfs.LinkFSPath (minecraft@1.20.1)
 110:          3786         151440  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
 111:          9430         150880  java.util.HashMap$KeySet (java.base@17.0.15)
 112:          4708         150656  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.15)
 113:          9318         149088  com.google.gson.JsonObject (com.google.gson@2.10)
 114:          3694         147760  net.minecraftforge.client.model.geometry.BlockGeometryBakingContext (forge@47.4.13)
 115:          9063         145008  com.mojang.datafixers.types.templates.List (datafixerupper@6.0.8)
 116:          2922         140256  com.google.common.collect.SingletonImmutableBiMap (com.google.common@31.1-jre)
 117:             8         139392  [[Lnet.minecraft.client.gui.font.FontSet$GlyphInfoFilter; (minecraft@1.20.1)
 118:             8         139392  [[Lnet.minecraft.client.gui.font.glyphs.BakedGlyph; (minecraft@1.20.1)
 119:          4342         138944  sun.nio.fs.UnixPath (java.base@17.0.15)
 120:          2087         133568  net.minecraft.client.model.geom.ModelPart (minecraft@1.20.1)
 121:          1738         132088  [Ljava.lang.ref.SoftReference; (java.base@17.0.15)
 122:          5391         129384  cpw.mods.modlauncher.TransformerAuditTrail$TransformerActivity (cpw.mods.modlauncher@10.0.9)
 123:          5327         127848  net.minecraft.resources.ResourceKey (minecraft@1.20.1)
 124:          5327         127848  net.minecraft.resources.ResourceKey$InternKey (minecraft@1.20.1)
 125:          3116         124640  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
 126:          7759         124144  java.lang.Integer (java.base@17.0.15)
 127:          5114         122736  com.mojang.datafixers.schemas.Schema$$Lambda$1808/0x0000000800816608 (datafixerupper@6.0.8)
 128:          2532         121536  net.minecraft.client.gui.font.providers.BitmapProvider$Glyph (minecraft@1.20.1)
 129:          4969         119256  net.minecraft.client.resources.model.Material (minecraft@1.20.1)
 130:          2467         118416  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
 131:          4820         115776  [Ljava.lang.reflect.Constructor; (java.base@17.0.15)
 132:          3416         109312  net.minecraft.server.packs.resources.Resource (minecraft@1.20.1)
 133:          3367         107744  cpw.mods.niofs.union.UnionPath (cpw.mods.securejarhandler)
 134:          1003         104312  net.minecraft.world.level.block.state.BlockBehaviour$Properties (minecraft@1.20.1)
 135:          4137          99288  cpw.mods.jarhandling.impl.Jar$StatusData (cpw.mods.securejarhandler)
 136:          2467          98680  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
 137:          2402          96080  java.lang.invoke.DirectMethodHandle$Constructor (java.base@17.0.15)
 138:          2490          95424  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
 139:          5848          93568  net.minecraft.client.renderer.block.model.MultiVariant (minecraft@1.20.1)
 140:          1949          93552  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.15)
 141:          3786          90864  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
 142:          5665          90640  com.google.common.collect.SingletonImmutableList (com.google.common@31.1-jre)
 143:          5596          89536  net.minecraft.util.datafix.schemas.V1460$$Lambda$2005/0x0000000800855600 (minecraft@1.20.1)
 144:          1217          87624  java.lang.reflect.Field (java.base@17.0.15)
 145:          2188          87520  net.minecraft.client.model.geom.ModelPart$Cube (minecraft@1.20.1)
 146:          2188          87456  [Lnet.minecraft.client.model.geom.ModelPart$Polygon; (minecraft@1.20.1)
 147:             5          87120  [[Lnet.minecraft.client.gui.font.providers.BitmapProvider$Glyph; (minecraft@1.20.1)
 148:          3541          84984  net.minecraft.client.resources.model.WeightedBakedModel (minecraft@1.20.1)
 149:          1762          84576  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync (java.base@17.0.15)
 150:          2578          82496  com.mojang.datafixers.types.templates.CompoundList$CompoundListType (datafixerupper@6.0.8)
 151:          5041          80656  com.google.gson.internal.LazilyParsedNumber (com.google.gson@2.10)
 152:          1988          79520  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@17.0.15)
 153:          4784          76544  com.mojang.datafixers.util.Either$Left (datafixerupper@6.0.8)
 154:          4742          75872  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@17.0.15)
 155:          4622          73952  net.minecraft.util.valueproviders.ConstantFloat (minecraft@1.20.1)
 156:          2237          71584  com.electronwill.nightconfig.core.SimpleCommentedConfig (com.electronwill.nightconfig.core@3.6.4)
 157:          1352          71376  [Ljava.lang.invoke.LambdaForm$Name; (java.base@17.0.15)
 158:            67          69680  [Lnet.minecraft.client.gui.font.providers.BitmapProvider$Glyph; (minecraft@1.20.1)
 159:          1347          64656  java.lang.invoke.LambdaForm (java.base@17.0.15)
 160:          1002          64128  java.util.concurrent.ConcurrentHashMap (java.base@17.0.15)
 161:          1987          63584  sun.security.util.ObjectIdentifier (java.base@17.0.15)
 162:          3694          59104  net.minecraftforge.client.model.geometry.BlockGeometryBakingContext$VisibilityData (forge@47.4.13)
 163:          2445          58680  java.util.Collections$SynchronizedSet (java.base@17.0.15)
 164:          2399          57576  com.mojang.serialization.Codec$$Lambda$1062/0x000000080056bc40 (datafixerupper@6.0.8)
 165:          2399          57576  com.mojang.serialization.codecs.FieldDecoder (datafixerupper@6.0.8)
 166:          2399          57576  com.mojang.serialization.codecs.FieldEncoder (datafixerupper@6.0.8)
 167:          3594          57504  net.minecraft.server.packs.linkfs.PathContents$FileContents (minecraft@1.20.1)
 168:          2371          56904  java.util.jar.Attributes$Name (java.base@17.0.15)
 169:          2278          54672  java.util.ImmutableCollections$ListN (java.base@17.0.15)
 170:          3416          54656  net.minecraft.server.packs.resources.IoSupplier$$Lambda$4592/0x0000000800c29610 (minecraft@1.20.1)
 171:           572          54328  [Ljava.lang.invoke.MethodHandle; (java.base@17.0.15)
 172:          1126          54048  net.minecraftforge.fml.loading.moddiscovery.ModInfo$ModVersion (fmlloader@1.20.1-47.4.13)
 173:          3344          53504  net.minecraft.client.renderer.block.model.multipart.OrCondition$$Lambda$5607/0x0000000800e40248 (minecraft@1.20.1)
 174:            14          53472  [Ljava.nio.ByteBuffer; (java.base@17.0.15)
 175:          2225          53400  java.util.ImmutableCollections$Set12 (java.base@17.0.15)
 176:           815          52160  java.util.zip.Inflater (java.base@17.0.15)
 177:          1592          50944  net.minecraft.network.chat.MutableComponent (minecraft@1.20.1)
 178:          1244          49760  sun.security.util.DerInputStream (java.base@17.0.15)
 179:           690          49680  sun.nio.ch.FileChannelImpl (java.base@17.0.15)
 180:          1552          49664  net.minecraft.network.chat.contents.TranslatableContents (minecraft@1.20.1)
 181:          1228          49120  java.lang.ref.Finalizer (java.base@17.0.15)
 182:          1221          48840  jdk.nio.zipfs.ZipFileSystem$END (jdk.zipfs@17.0.15)
 183:           695          44480  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
 184:           919          44112  java.util.Hashtable (java.base@17.0.15)
 185:           913          43824  net.minecraft.client.model.geom.builders.CubeDefinition (minecraft@1.20.1)
 186:          1826          43824  net.minecraft.client.model.geom.builders.UVPair (minecraft@1.20.1)
 187:          1784          42816  com.mojang.serialization.MapDecoder$4 (datafixerupper@6.0.8)
 188:          1769          42456  java.util.concurrent.locks.ReentrantReadWriteLock (java.base@17.0.15)
 189:           750          42000  net.minecraft.world.item.BlockItem (minecraft@1.20.1)
 190:          1719          41256  com.mojang.serialization.MapEncoder$1 (datafixerupper@6.0.8)
 191:          2557          40912  org.apache.maven.artifact.versioning.ComparableVersion$IntItem (maven.artifact@3.8.5)
 192:          1012          40480  net.minecraft.client.renderer.block.model.BlockElement (minecraft@1.20.1)
 193:          1010          40400  cpw.mods.niofs.union.UnionFileSystem (cpw.mods.securejarhandler)
 194:          1676          40224  java.util.LinkedList$Node (java.base@17.0.15)
 195:          1244          39808  sun.security.util.DerValue (java.base@17.0.15)
 196:            12          39104  [Ljava.util.concurrent.ForkJoinTask; (java.base@17.0.15)
 197:          1221          39072  jdk.nio.zipfs.ZipPath (jdk.zipfs@17.0.15)
 198:          1624          38976  com.mojang.datafixers.types.templates.Named (datafixerupper@6.0.8)
 199:          1624          38976  com.mojang.serialization.MapCodec$3 (datafixerupper@6.0.8)
 200:           964          38560  org.openjdk.nashorn.internal.runtime.CompiledFunction (org.openjdk.nashorn)
 201:          1584          38016  com.mojang.serialization.codecs.RecordCodecBuilder (datafixerupper@6.0.8)
 202:           945          37800  com.mojang.datafixers.types.templates.RecursivePoint$RecursivePointType (datafixerupper@6.0.8)
 203:           943          37720  java.math.BigInteger (java.base@17.0.15)
 204:          1557          37368  com.mojang.serialization.codecs.PairMapCodec (datafixerupper@6.0.8)
 205:           778          37344  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@17.0.15)
 206:          1555          37320  com.mojang.serialization.MapCodec$5 (datafixerupper@6.0.8)
 207:          1555          37320  net.minecraft.world.level.block.state.StateDefinition$$Lambda$1487/0x000000080071fcf0 (minecraft@1.20.1)
 208:           923          36920  java.util.WeakHashMap$Entry (java.base@17.0.15)
 209:             2          36480  org.lwjgl.opengl.GLCapabilities (org.lwjgl.opengl@3.3.1+7)
 210:           905          36200  com.mojang.datafixers.types.templates.Check$CheckType (datafixerupper@6.0.8)
 211:          1126          36032  org.openjdk.nashorn.internal.runtime.PropertyHashMap$Element (org.openjdk.nashorn)
 212:          1474          35376  net.minecraft.sounds.SoundEvent (minecraft@1.20.1)
 213:          1472          35328  net.minecraft.client.sounds.WeighedSoundEvents (minecraft@1.20.1)
 214:          1099          35168  com.mojang.datafixers.types.Func (datafixerupper@6.0.8)
 215:          1099          35168  cpw.mods.modlauncher.TransformTargetLabel (cpw.mods.modlauncher@10.0.9)
 216:          1461          35064  java.lang.invoke.LambdaForm$NamedFunction (java.base@17.0.15)
 217:          1440          34560  java.util.ImmutableCollections$List12 (java.base@17.0.15)
 218:           617          34552  org.openjdk.nashorn.internal.runtime.ScriptFunction (org.openjdk.nashorn)
 219:          1416          33984  com.mojang.serialization.Decoder$5 (datafixerupper@6.0.8)
 220:          1043          33376  java.lang.invoke.MethodTypeForm (java.base@17.0.15)
 221:          1014          32448  java.util.Locale (java.base@17.0.15)
 222:          1012          32384  sun.util.locale.BaseLocale (java.base@17.0.15)
 223:           483          32264  [Ljava.lang.reflect.Method; (java.base@17.0.15)
 224:          1008          32256  java.util.LinkedList (java.base@17.0.15)
 225:          1330          31920  com.google.common.collect.ImmutableEntry (com.google.common@31.1-jre)
 226:           993          31776  sun.util.locale.BaseLocale$Key (java.base@17.0.15)
 227:          1311          31464  org.apache.maven.artifact.versioning.ComparableVersion$ListItem (maven.artifact@3.8.5)
 228:           783          31320  java.io.FileDescriptor (java.base@17.0.15)
 229:           782          31280  org.apache.maven.artifact.versioning.DefaultArtifactVersion (maven.artifact@3.8.5)
 230:           781          31240  net.minecraft.client.model.geom.PartPose (minecraft@1.20.1)
 231:          1301          31224  org.antlr.v4.runtime.misc.Interval (org.antlr.antlr4.runtime@4.9.1)
 232:           481          30784  java.net.URL (java.base@17.0.15)
 233:          1244          29856  [Lsun.security.x509.AVA; (java.base@17.0.15)
 234:          1244          29856  sun.security.x509.AVA (java.base@17.0.15)
 235:          1244          29856  sun.security.x509.RDN (java.base@17.0.15)
 236:           930          29760  com.mojang.datafixers.TypeRewriteRule$Everywhere (datafixerupper@6.0.8)
 237:            69          29136  [Lorg.antlr.v4.runtime.dfa.DFAState; (org.antlr.antlr4.runtime@4.9.1)
 238:           455          29120  cpw.mods.jarhandling.impl.Jar (cpw.mods.securejarhandler)
 239:          1769          28304  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock (java.base@17.0.15)
 240:          1769          28304  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter (java.base@17.0.15)
 241:          1769          28304  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock (java.base@17.0.15)
 242:          1719          27504  com.mojang.serialization.MapCodec$$Lambda$1108/0x000000080057b448 (datafixerupper@6.0.8)
 243:           382          27504  net.minecraftforge.fml.loading.moddiscovery.ModFile (fmlloader@1.20.1-47.4.13)
 244:           681          27240  com.google.common.collect.MapMakerInternalMap$WeakKeyDummyValueEntry (com.google.common@31.1-jre)
 245:          1133          27192  com.mojang.serialization.MapCodec$$Lambda$1032/0x00000008005623d0 (datafixerupper@6.0.8)
 246:           270          27104  [Ljava.util.WeakHashMap$Entry; (java.base@17.0.15)
 247:           334          26720  java.net.URI (java.base@17.0.15)
 248:          1110          26640  com.mojang.datafixers.RewriteResult (datafixerupper@6.0.8)
 249:           251          26488  [Z (java.base@17.0.15)
 250:          1621          25936  com.google.gson.internal.LinkedTreeMap$EntrySet (com.google.gson@2.10)
 251:           648          25920  com.google.common.collect.ImmutableSortedMap (com.google.common@31.1-jre)
 252:           636          25440  org.openjdk.nashorn.internal.runtime.FinalScriptFunctionData (org.openjdk.nashorn)
 253:           349          25128  net.minecraftforge.fml.loading.moddiscovery.ModInfo (fmlloader@1.20.1-47.4.13)
 254:           347          24984  com.electronwill.nightconfig.core.file.WriteAsyncFileConfig (com.electronwill.nightconfig.core@3.6.4)
 255:          1039          24936  net.minecraft.client.model.geom.builders.PartDefinition (minecraft@1.20.1)
 256:          1555          24880  com.mojang.datafixers.DataFixUtils$$Lambda$1488/0x000000080071d540 (datafixerupper@6.0.8)
 257:          1555          24880  net.minecraft.world.level.block.state.StateDefinition$$Lambda$1489/0x000000080071c800 (minecraft@1.20.1)
 258:          1555          24880  net.minecraft.world.level.block.state.StateDefinition$$Lambda$1490/0x000000080071ca48 (minecraft@1.20.1)
 259:           620          24800  java.lang.WeakPairMap$Pair$Weak (java.base@17.0.15)
 260:           612          24480  java.util.IdentityHashMap (java.base@17.0.15)
 261:          1012          24288  cpw.mods.niofs.union.UnionFileSystem$EmbeddedFileSystemMetadata (cpw.mods.securejarhandler)
 262:          1011          24264  jdk.dynalink.beans.SimpleDynamicMethod (jdk.dynalink@17.0.15)
 263:          1009          24216  net.minecraft.world.level.block.state.StateDefinition (minecraft@1.20.1)
 264:          1009          24216  net.minecraft.world.level.block.state.StateDefinition$$Lambda$1466/0x0000000800713b08 (minecraft@1.20.1)
 265:          1005          24120  net.minecraft.client.resources.model.ModelBakery$LoadedJson (minecraft@1.20.1)
 266:           481          23088  java.lang.invoke.LambdaFormEditor$Transform (java.base@17.0.15)
 267:           945          22680  com.mojang.datafixers.types.families.RecursiveTypeFamily$$Lambda$1859/0x0000000800827668 (datafixerupper@6.0.8)
 268:           470          22560  java.util.TreeMap (java.base@17.0.15)
 269:           936          22464  org.apache.commons.lang3.tuple.ImmutableTriple (org.apache.commons.lang3@3.12.0)
 270:           467          22416  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@17.0.15)
 271:          1375          22000  com.google.common.collect.SingletonImmutableSet (com.google.common@31.1-jre)
 272:           535          21400  java.lang.invoke.DirectMethodHandle$Accessor (java.base@17.0.15)
 273:           871          20904  java.lang.module.ModuleDescriptor$Exports (java.base@17.0.15)
 274:           648          20736  com.google.common.collect.RegularImmutableSortedSet (com.google.common@31.1-jre)
 275:          1289          20624  java.util.LinkedHashMap$LinkedValues (java.base@17.0.15)
 276:           364          20384  org.openjdk.nashorn.internal.runtime.AccessorProperty (org.openjdk.nashorn)
 277:           363          20328  java.nio.DirectFloatBufferU (java.base@17.0.15)
 278:           843          20232  com.mojang.datafixers.TypeRewriteRule$Seq (datafixerupper@6.0.8)
 279:           833          19992  com.mojang.serialization.Codec$2 (datafixerupper@6.0.8)
 280:           620          19840  java.lang.Package (java.base@17.0.15)
 281:           620          19840  java.lang.WeakPairMap$Pair$Weak$1 (java.base@17.0.15)
 282:           815          19560  java.util.zip.Inflater$InflaterZStreamRef (java.base@17.0.15)
 283:           301          19264  java.security.Provider$Service (java.base@17.0.15)
 284:           400          19200  com.mojang.blaze3d.shaders.Uniform (minecraft@1.20.1)
 285:           796          19104  java.security.Provider$ServiceKey (java.base@17.0.15)
 286:           338          18928  sun.security.ssl.CipherSuite (java.base@17.0.15)
 287:           782          18768  org.apache.maven.artifact.versioning.ComparableVersion (maven.artifact@3.8.5)
 288:          1153          18448  net.minecraft.nbt.IntTag (minecraft@1.20.1)
 289:           768          18432  net.minecraft.client.renderer.block.model.multipart.KeyValueCondition (minecraft@1.20.1)
 290:          1133          18128  com.mojang.serialization.Encoder$4 (datafixerupper@6.0.8)
 291:          1120          17920  net.minecraft.util.datafix.schemas.V1470$$Lambda$2064/0x0000000800861f10 (minecraft@1.20.1)
 292:          1110          17760  com.mojang.datafixers.View (datafixerupper@6.0.8)
 293:             2          17440  [Lcom.mojang.serialization.Dynamic; (datafixerupper@6.0.8)
 294:             1          17424  [[Lnet.minecraft.client.gui.font.providers.UnihexProvider$Glyph; (minecraft@1.20.1)
 295:           539          17248  java.lang.module.ModuleDescriptor$Requires (java.base@17.0.15)
 296:           531          16992  jdk.nio.zipfs.ByteArrayChannel (jdk.zipfs@17.0.15)
 297:          1052          16832  java.util.concurrent.atomic.AtomicBoolean (java.base@17.0.15)
 298:          1047          16752  net.minecraft.util.datafix.schemas.V1460$$Lambda$2028/0x000000080085cb68 (minecraft@1.20.1)
 299:           697          16728  net.minecraftforge.fml.loading.moddiscovery.NightConfigWrapper (fmlloader@1.20.1-47.4.13)
 300:           348          16704  net.minecraftforge.fml.loading.moddiscovery.ModFileInfo (fmlloader@1.20.1-47.4.13)
 301:           260          16640  java.lang.module.ModuleDescriptor (java.base@17.0.15)
 302:           690          16560  sun.nio.ch.NativeThreadSet (java.base@17.0.15)
 303:           339          16272  sun.security.x509.X500Name (java.base@17.0.15)
 304:          1014          16224  java.util.EnumMap$EntrySet (java.base@17.0.15)
 305:          1014          16224  java.util.EnumMap$Values (java.base@17.0.15)
 306:          1012          16192  java.util.EnumMap$KeySet (java.base@17.0.15)
 307:           500          16000  net.minecraftforge.accesstransformer.AccessTransformer (accesstransformers@8.0.4)
 308:           659          15816  net.minecraft.client.renderer.texture.SpriteContents$FrameInfo (minecraft@1.20.1)
 309:           647          15528  com.google.common.collect.ImmutableSortedMap$1EntrySet (com.google.common@31.1-jre)
 310:           473          15136  com.mojang.datafixers.types.templates.Hook$HookType (datafixerupper@6.0.8)
 311:           620          14880  com.mojang.datafixers.TypeRewriteRule$All (datafixerupper@6.0.8)
