* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_mage, 10, 1, 1
145, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:rabbit, 10, 2, 3
146, forest, regions_unexplored:alpha_grove, CREATURE, naturalist:lizard, 10, 1, 1
147, forest, regions_unexplored:alpha_grove, CREATURE, naturalist:robin, 10, 3, 4
148, forest, regions_unexplored:alpha_grove, CREATURE, naturalist:snail, 10, 2, 3
149, forest, regions_unexplored:alpha_grove, CREATURE, naturalist:snake, 10, 1, 1
150, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
151, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:raccoon, 10, 2, 4
152, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:crow, 10, 3, 5
153, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
154, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:skunk, 10, 1, 2
155, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:blue_jay, 16, 2, 4
156, forest, regions_unexplored:alpha_grove, CREATURE, fallout_wastelands_:brahmin, 60, 2, 5
157, forest, regions_unexplored:alpha_grove, CREATURE, adorablehamsterpets:hamster, 30, 1, 1
158, forest, regions_unexplored:alpha_grove, CREATURE, golemoverhaul:honey_golem, 10, 1, 2
159, forest, regions_unexplored:alpha_grove, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
160, forest, regions_unexplored:alpha_grove, AMBIENT, minecraft:bat, 10, 8, 8
161, forest, regions_unexplored:alpha_grove, AMBIENT, naturalist:firefly, 10, 2, 4
162, forest, regions_unexplored:alpha_grove, AMBIENT, alexsmobs:fly, 10, 2, 3
163, forest, regions_unexplored:alpha_grove, AMBIENT, alexsmobs:cockroach, 10, 5, 5
164, forest, regions_unexplored:alpha_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
165, forest, regions_unexplored:alpha_grove, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
166, forest, regions_unexplored:alpha_grove, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
167, forest, regions_unexplored:alpha_grove, WATER_CREATURE, thalassophobia:jellyfish, 40, 13, 30
168, forest, regions_unexplored:alpha_grove, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
169, none, regions_unexplored:ancient_delta, MONSTER, minecraft:spider, 80, 4, 4
170, none, regions_unexplored:ancient_delta, MONSTER, minecraft:zombie, 80, 4, 4
171, none, regions_unexplored:ancient_delta, MONSTER, minecraft:zombie_villager, 10, 1, 1
172, none, regions_unexplored:ancient_delta, MONSTER, minecraft:skeleton, 80, 4, 4
173, none, regions_unexplored:ancient_delta, MONSTER, minecraft:creeper, 80, 4, 4
174, none, regions_unexplored:ancient_delta, MONSTER, minecraft:slime, 80, 4, 4
175, none, regions_unexplored:ancient_delta, MONSTER, minecraft:enderman, 5, 1, 4
176, none, regions_unexplored:ancient_delta, MONSTER, minecraft:witch, 5, 1, 1
177, none, regions_unexplored:ancient_delta, MONSTER, alexsmobs:centipede_head, 10, 1, 1
178, none, regions_unexplored:ancient_delta, MONSTER, alexsmobs:farseer, 30, 1, 1
179, none, regions_unexplored:ancient_delta, MONSTER, alexsmobs:murmur, 10, 1, 1
180, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
181, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:baby_spider, 16, 3, 5
182, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:barrel_zombie, 25, 1, 1
183, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:bloody_gadfly, 15, 1, 1
184, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
185, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:corpse_fly, 12, 1, 3
186, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:dark_vortex, 14, 1, 1
187, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:decaying_zombie, 30, 1, 1
188, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:decrepit_skeleton, 20, 1, 1
189, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
190, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
191, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
192, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
193, none, regions_unexplored:ancient_delta, MONSTER, golemoverhaul:slime_golem, 25, 1, 2
194, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:krampus, 10, 1, 1
195, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:krampus_henchman, 10, 2, 3
196, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:lifestealer, 10, 1, 1
197, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
198, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:mother_spider, 15, 1, 1
199, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:mr_pumpkin, 15, 1, 3
200, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:mrs_pumpkin, 13, 1, 1
201, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
202, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
203, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:pumpkin_bruiser, 10, 1, 1
204, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
205, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:senor_pumpkin, 10, 1, 2
206, none, regions_unexplored:ancient_delta, MONSTER, more_critters:shriekbat, 10, 1, 1
207, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
208, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
209, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
210, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
211, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
212, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
213, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:spiritof_chaos, 10, 1, 1
214, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
215, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
216, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
217, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
218, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
219, none, regions_unexplored:ancient_delta, MONSTER, born_in_chaos_v1:zombie_lumberjack, 25, 1, 1
220, none, regions_unexplored:ancient_delta, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
221, none, regions_unexplored:ancient_delta, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
222, none, regions_unexplored:ancient_delta, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
223, none, regions_unexplored:ancient_delta, CREATURE, naturalist:snail, 10, 2, 3
224, none, regions_unexplored:ancient_delta, CREATURE, fallout_wastelands_:brahmin, 60, 2, 5
225, none, regions_unexplored:ancient_delta, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
226, none, regions_unexplored:ancient_delta, AMBIENT, minecraft:bat, 10, 8, 8
227, none, regions_unexplored:ancient_delta, AMBIENT, alexsmobs:fly, 10, 2, 3
228, none, regions_unexplored:ancient_delta, AMBIENT, alexsmobs:cockroach, 10, 5, 5
229, none, regions_unexplored:ancient_delta, AMBIENT, golemoverhaul:coal_golem, 20, 3, 5
230, none, regions_unexplored:ancient_delta, AXOLOTLS, minecraft:axolotl, 10, 4, 6
231, none, regions_unexplored:ancient_delta, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
232, none, regions_unexplored:ancient_delta, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
233, none, regions_unexplored:ancient_delta, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
234, none, regions_unexplored:ancient_delta, WATER_CREATURE, thalassophobia:jellyfish, 40, 13, 30
235, none, regions_unexplored:ancient_delta, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
236, none, regions_unexplored:ancient_delta, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
237, none, undergarden:ancient_sea, MONSTER, undergarden:nargoyle, 50, 1, 1
238, none, undergarden:ancient_sea, MONSTER, undergarden:muncher, 50, 1, 1
239, none, undergarden:ancient_sea, MONSTER, undergarden:sploogie, 50, 1, 1
240, none, undergarden:ancient_sea, MONSTER, undergarden:rotling, 80, 2, 4
241, none, undergarden:ancient_sea, MONSTER, undergarden:rotwalker, 80, 4, 4
242, none, undergarden:ancient_sea, MONSTER, undergarden:rotbeast, 80, 1, 2
243, none, undergarden:ancient_sea, MONSTER, alexsmobs:farseer, 30, 1, 1
244, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
245, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:baby_spider, 16, 3, 5
246, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:barrel_zombie, 25, 1, 1
247, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:bloody_gadfly, 15, 1, 1
248, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
249, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:corpse_fly, 12, 1, 3
250, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:dark_vortex, 14, 1, 1
251, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:decaying_zombie, 30, 1, 1
252, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:decrepit_skeleton, 20, 1, 1
253, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
254, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
255, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
256, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
257, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:krampus, 10, 1, 1
258, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:krampus_henchman, 10, 2, 3
259, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:lifestealer, 10, 1, 1
260, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
261, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:mother_spider, 15, 1, 1
262, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:mr_pumpkin, 15, 1, 3
263, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:mrs_pumpkin, 13, 1, 1
264, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
265, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
266, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:pumpkin_bruiser, 10, 1, 1
267, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
268, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:senor_pumpkin, 10, 1, 2
269, none, undergarden:ancient_sea, MONSTER, more_critters:shriekbat, 10, 1, 1
270, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
